Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM340682,0,0.0637495377234578,0.0280532509277531,0,0.135325807198507,0,0.129591753610337,0,0.110002597162463,0.0795447013364238,0.0105367104898179,0,0,0,0,0.0904841577306663,0,0.322523893208559,0.0281849390879223,0,0,0.00200265152409287,0.37,0.0429757205241671,1.09033301655997
GSM340683,0,0.0336266070065433,0,0,0.110952560973687,0.0353054180688927,0.118122465368064,0,0.148682027385194,0,0.0270404307358116,0,0.00217644498976385,0.121665762139605,0,0.161783302152204,0.0433004154518858,0.153393978218649,0.0439505875096996,0,0,0,0.12,0.108468757742662,1.04341419440623
GSM340685,0.00845084207371778,0.185291415946488,0,0.00759157717225833,0,0.121606041260754,0.297886027322455,0.0510722743629043,0.0512639589226505,0,0,0.00832314966554681,0,0.0526529899372737,0,0.0528630331507912,0,0.0974444650977092,0.0548180167809516,0,0,0.0107362083064994,0.48,0.0285502300537486,1.06846667754396
GSM340686,0.0303859925592098,0,0,0,0.0600446159494685,0.0680372392914222,0.0579591710151492,0,0.188029486921758,0,0.0823539663003629,0,0.0483787737224041,0,0,0.0984114110391549,0.11151668559192,0.149448467982851,0,0.100760088167655,0,0.00467410145864434,0.14,0.103850957446271,1.04406358121955
GSM340687,0.0738914064814188,0,0.0912295392369986,0,0,0,0,0.0822115560418876,0.0774022462914366,0,0.0701640312378482,0,0.0107279231247972,0.24652296048595,0.117250190548967,0.063713320582116,0.0720160609027667,0.0168069799217678,0,0.0780637851440445,0,0,0,0.284287137803215,0.973939773584523
GSM340688,0.0886682631827181,0,0.0170098117858386,0,0,0.173745004812145,0.238183950291518,0,0.0827401068692125,0,0.0110778600231885,0.0451203481263831,0,0.0414222404576246,0,0.0225043910276575,0,0.202457283137876,0.0591903884169546,0,0,0.0178803518688831,0.63,0.0141077608134778,1.0867993204786
GSM340689,0.0269761545670518,0.0651204300353308,0.0269687550448217,0.155105992580777,0.0435095460267484,0,0.0572923470838266,0.0555250765602085,0.131467814257469,0.0997120225725259,0,0,0,0.0786560326781733,0.0330395497876648,0.0225300199172725,0,0.144695520219261,0,0.0594007386688692,0,0,0.1,0.124234607089628,1.04852487355815
GSM340690,0,0.066363163744496,0,0,0.0508528420077125,0.226977729065143,0.0336152416425621,0,0.157455312567108,0,0.0720621950977734,0,0.0159647050772038,0.165751058278166,0.0139362486165634,0.0519595622507929,0,0.111572231638536,0.0292382963428953,0,0,0.00425141367104733,0.6,0.0177813975435133,1.09044103583355
GSM340691,0,0.103582464140941,0.00269374895624021,0.120012238216628,0,0.090691830697948,0.0485332418071262,0,0.259921030341398,0,0.10738119658849,0.0218383752729343,0.0711729382905022,0.0208894266628267,0,0.0739537152829379,0,0.065477713149088,0.0103151614159397,0,0,0.0035369191770001,0.56,0.0198604382931632,1.10276045809031
GSM340692,0,0.0660872827366308,0,0.00283641279548509,0,0.162333584761595,0.256107770728441,0.0435564747738615,0.0419067149572957,0.169687574702287,0,0.00408400944972332,0,0.0260759476429503,0,0.0173942463609651,0,0.174099152773085,0.0358308283176796,0,0,0,0.61,0.0172090266763309,1.09992911657252
GSM340695,0.0414240653710208,0,0,0.14936126913143,0,0.147852968153918,0,0,0.171427486759241,0,0.0808797509347502,0,0.0374117667273119,0,0.0254801646008092,0.178241224910617,0.0954343352478402,0.0718066053691598,0,0.000680362793901742,0,0,0.51,0.0246375965446614,1.08884713405269
GSM340698,0.0041574276350342,0.00593032928333512,0.143169015205821,0,0.0250925919430274,0,0,0,0.0525409948464064,0.0341995203523397,0.0045606954963285,0.00536317093791985,0,0.326331057440659,0,0.0198190206247601,0,0.149161982898543,0.218708988312023,0,0,0.0109652050238026,0.3,0.0565272632756367,1.07800328073868
GSM340699,0.0422162567339176,0.0992753694664163,0.0529503102568011,0.108426423648495,0,0.122839547095421,0,0,0.103215334286135,0,0,0.0129413223105816,0.0138722648916276,0.190161527537318,0.0615223837108809,0.0758275728016077,0,0,0.116751687260798,0,0,0,0.07,0.155649997604673,1.01946424714269
GSM340703,0,0.000722282003820025,0.122370105116901,0.0458222070995093,0,0.107541831480669,0,0,0.19182738206252,0.131386545999155,0,0.0106165400314887,0.00778437555186172,0.0566948073845195,0.0230318470111398,0.0945294182804484,0.00835501583526588,0.0252245962964829,0.159794437684853,0,0.0142986081613666,0,0.39,0.0395134780028806,1.06150445970216
GSM340707,0,0,0.0675621569681907,0.0950559044262756,0,0.237400090480869,0.0546596082761456,0,0.142181677916705,0,0,0.0502074640101758,0,0,0,0.171453829189235,0,0.115995757325513,0.0508966360929002,0,0,0.0145868753139901,0.63,0.0141088164207667,1.08717519539277
GSM340708,0.0321719190508483,0,0.147620487154489,0.0333470859547283,0,0,0,0.0686379272319931,0.128378413829832,0,0.019628157432578,0.0644969192975247,0.0214134077716466,0.0962534319575054,0.145263725929007,0.00266717429439476,0.0380260333640435,0.0743806944041378,0.127714622327271,0,0,0,0.29,0.0593710259334489,1.06347241569518
GSM340710,0.0151206513238732,0,0.00363233166693365,0,0.144407663768528,0.0519685185715146,0,0,0.193515129133797,0,0.163695437072183,0,0.0371635629371005,0,0,0,0.0310642089513709,0.12515124012229,0,0.201468489218093,0.0328127672343159,0,0.6,0.0176989085883701,1.10786366407587
GSM340711,0,0.105753750857188,0,0,0.116266192119857,0,0,0,0.108147646735537,0,0.0661563371393764,0,0.0373095329885231,0,0,0.176346888635233,0.00557816205050658,0.276982153922089,0.0948648093544347,0.00971719047221521,0,0.00287733572504101,0.27,0.0685518235585199,1.06367130896429
GSM340713,0.00231047424592307,0,0,0,0.1337296284405,0.0602829522699033,0.0871824311845278,0,0.170474787338575,0,0.0460320251045749,0,0,0,0,0.283673248601654,0.0406990944763973,0.125109697909488,0,0.0505056604284571,0,0,0.55,0.0227740858048639,1.08356512278139
GSM340716,0,0.0849822448775373,0.0385594559205403,0,0,0.30603752335203,0.293279163719089,0,0,0,0.0389942262091493,0.0193154739404412,0,0.0206264618970918,0,0.028358020876314,0,0.102769999894128,0.0580969566897876,0,0,0.00898047262389109,0.46,0.0303831822180695,1.07931808440637
GSM340717,0.0457104801901936,0,0.00563049148867681,0,0.0170448124356615,0.162003493897642,0.0615162081985387,0,0.133482006288118,0,0.0964217526409783,0.0116149091091059,0.0527019387325517,0,0,0.301625046616307,0,0.0483367105796517,0.0383531272013808,0,0.0255590226211948,0,0.56,0.0208034082217741,1.07819877065651
GSM340719,0,0.0874279981689411,0,0.0624149058702331,0.15146138420572,0,0.121392894779427,0,0.187047356730577,0.000999565735186289,0,0.0116935555281087,0.0461230233774739,0.0329458835215939,0,0.101282911969709,0,0.166970272651668,0.0302402474613619,0,0,0,0.23,0.0810148799276993,1.05775235963503
GSM340722,0.0160154387753989,0,0,0,0.0449991093621281,0,0.036745888178953,0.0577225219575995,0.115268736405262,0,0.0579355154629403,0,0,0.271675522540481,0.012849492120944,0.0966972768984091,0,0.142038913764715,0,0.13483196093071,0,0.0132196236024589,0.14,0.103449204012276,1.07093264553467
GSM340724,0,0,0,0,0,0.282910664398348,0.0836840119146505,0,0.103401126660141,0.0570516558750854,0,0.00242197295561401,0,0,0,0.327411706129764,0,0.122500611330259,0.020618250736138,0,0,0,0.64,0.0116258488778878,1.09400874502498
