geneName	GSM340537	GSM340538	GSM340539	GSM340540	GSM340541	GSM340542	GSM340543	GSM340544	GSM340545	GSM340546
CSF3R	152.218510720348	187.40296908104	155.416945202566	202.250575837025	163.143760296866	135.298309191857	172.445897838808	163.143760296866	154.343401944417	168.897012578931
CST7	210.839300420499	333.143514993135	248.999666537545	248.999666537545	230.720118428372	319.572620518813	268.727471007505	232.324903761193	290.018274635724	248.999666537545
CTLA4	564.175419328825	248.999666537545	296.112175079754	215.269482304951	298.171798135925	552.564857090267	335.460711387741	942.272154239873	219.792751728065	256
CTSG	955.425783333691	1758.34201382452	613.109096764891	797.864529572352	317.365171184381	522.758208362083	1520.15213632415	300.245747003361	176.069352721887	159.786310259406
CTSW	286.025507346488	481.035647597574	272.47876670806	257.78062081452	364.55685007285	487.750654998496	461.440236856745	199.466132393088	436.549064585194	254.231678831881
CXCL10	1287.18169551035	1858.59923008954	1024	471.136077119936	776.046882053324	215.269482304951	519.147253652495	326.287520593731	5007.93457742671	1520.15213632415
CXCL11	317.365171184381	367.092543492052	298.171798135925	192.671583668617	205.073888662943	157.586484908149	232.324903761193	171.254727012622	910.174905514568	257.78062081452
CXCL13	181.019335983756	131.598569811977	203.657339841259	154.343401944417	335.460711387741	245.571614547268	128.89031040726	179.768944094464	130.689552090521	131.598569811977
CXCL3	308.686803888835	221.321531214813	218.274532292597	206.500290360864	221.321531214813	225.971967050408	207.936613467196	202.250575837025	284.049784849368	247.279700204761
CXCL5	126.23778617515	154.343401944417	131.598569811977	137.187003204645	126.23778617515	188.706459813261	156.497955544585	140.069593761375	160.897711938794	152.218510720348
CXCL9	364.55685007285	634.730342368761	474.41308768787	388.023441026662	315.172969816299	114.56320907878	1438.15155275571	174.853152864563	891.443776815232	445.721888407616
CXCR6	153.277274191223	292.035511262316	263.197139623953	191.340703825272	195.361178746952	141.043854832206	199.466132393088	167.73035569387	261.379104181041	265.027820503393
CXorf57	544.95753341612	661.684649286396	873.098129170387	433.533599929614	809.002303348098	154.343401944417	354.588023836397	359.537888188927	1251.98364435668	1468.37017396821
CYP27A1	1640.59110930355	2916.4548005828	1105.12971418053	1770.57224971851	1770.57224971851	704.277410887549	2401.96597602689	6038.60671402435	2646.73859714558	2134.96987820262
CYP27B1	191.340703825272	184.82293702688	174.853152864563	186.108482217	176.069352721887	240.517823798787	159.786310259406	148.056087539877	165.421162321599	207.936613467196
DACH1	572.051014692977	436.549064585194	1031.12248325808	714.108757171408	537.454942015011	278.204124806671	873.098129170387	232.324903761193	661.684649286396	724.077343935025
DAPK2	380.038034081037	410.147777325886	235.568038559968	321.795423877588	276.282428545133	240.517823798787	263.197139623953	188.706459813261	474.41308768787	455.087452757284
DEFA4	173.645353913302	144.007486040168	143.012753673244	128	137.187003204645	157.586484908149	135.298309191857	152.218510720348	166.571757496567	148.056087539877
DEPDC5	184.82293702688	198.088319173426	183.546271746026	200.853529061568	200.853529061568	232.324903761193	183.546271746026	194.011720513331	221.321531214813	203.657339841259
DGKA	235.568038559968	455.087452757284	352.138705443775	388.023441026662	421.678600840998	280.139187522749	225.971967050408	209.382926990792	484.381515123505	474.41308768787
DPEP2	321.795423877588	442.643062429627	278.204124806671	340.143568408707	404.501151674049	337.794025157861	451.943934100815	413.000580721729	319.572620518813	765.362815301089
DPP4	186.108482217	172.445897838808	270.596618383713	254.231678831881	165.421162321599	215.269482304951	247.279700204761	221.321531214813	183.546271746026	160.897711938794
DSC1	134.363735503753	120.258911899394	139.102062403335	124.499833268773	122.785807273634	119.428222916711	116.970425629363	120.258911899394	122.785807273634	123.63985010238
DUSP2	903.887868201631	1379.56718271047	326.287520593731	481.035647597574	4705.06846206785	433.533599929614	1722.15585843961	232.324903761193	1260.69187926519	2304.11977664268
EAF2	163.143760296866	238.856445833423	347.290707826604	205.073888662943	212.305803728497	133.435617387664	210.839300420499	178.527189292852	206.500290360864	266.871234775327
EBI3	213.782507373663	250.731596182253	282.087709664412	250.731596182253	213.782507373663	165.421162321599	238.856445833423	424.611607456994	243.875327499248	278.204124806671
EFNA5	128	131.598569811977	147.03338943962	117.784019279984	132.513910251696	128.89031040726	133.435617387664	120.258911899394	128	137.187003204645
EGR2	1468.37017396821	177.294011918198	187.40296908104	181.019335983756	1379.56718271047	298.171798135925	2998.44750529664	3565.77510726093	192.671583668617	770.686334674466
EMR1	159.786310259406	158.68258559219	178.527189292852	172.445897838808	157.586484908149	160.897711938794	174.853152864563	153.277274191223	137.187003204645	150.122873501681
EMR2	342.509454025245	292.035511262316	298.171798135925	310.833890405132	292.035511262316	421.678600840998	349.706305729125	380.038034081037	252.4755723503	298.171798135925
EMR3	162.016844028196	168.897012578931	163.143760296866	150.122873501681	146.017755631158	137.187003204645	168.897012578931	157.586484908149	160.897711938794	148.056087539877
EPB41	136.23938335403	202.250575837025	178.527189292852	188.706459813261	207.936613467196	145.009137317862	139.102062403335	133.435617387664	219.792751728065	218.274532292597
EPHA1	424.611607456994	749.611876324161	739.291748107518	962.071295195148	770.686334674466	137.187003204645	232.324903761193	131.598569811977	849.223214913988	694.581415653208
EPN2	477.712891666846	519.147253652495	436.549064585194	526.394279247906	451.943934100815	685.018908050489	666.28702998627	657.114059552207	424.611607456994	464.649807522386
